,ADX
2023-05-12,8.5541
2023-05-11,8.5599
2023-05-10,8.5650
2023-05-09,8.5712
2023-05-08,8.5779
2023-05-05,8.5848
2023-05-04,8.5924
2023-05-03,8.5977
2023-05-02,8.6030
2023-05-01,8.6036
2023-04-28,8.6048
2023-04-27,8.6083
2023-04-26,8.6111
2023-04-25,8.6322
2023-04-24,8.6555
2023-04-21,8.6761
2023-04-20,8.6972
2023-04-19,8.7160
2023-04-18,8.7348
2023-04-17,8.7512
2023-04-14,8.7670
2023-04-13,8.7826
2023-04-12,8.7988
2023-04-11,8.8181
2023-04-10,8.8368
2023-04-06,8.8559
2023-04-05,8.8751
2023-04-04,8.8955
2023-04-03,8.9141
2023-03-31,8.9346
2023-03-30,8.9561
2023-03-29,8.9805
2023-03-28,9.0065
2023-03-27,9.0358
2023-03-24,9.0627
2023-03-23,9.0882
2023-03-22,9.1138
2023-03-21,9.1400
2023-03-20,9.1687
2023-03-17,9.2004
2023-03-16,9.2310
2023-03-15,9.2612
2023-03-14,9.2969
2023-03-13,9.3352
2023-03-10,9.3808
2023-03-09,9.4238
2023-03-08,9.4660
2023-03-07,9.5110
2023-03-06,9.5543
2023-03-03,9.5983
2023-03-02,9.6447
2023-03-01,9.6870
2023-02-28,9.7307
2023-02-27,9.7744
2023-02-24,9.8152
2023-02-23,9.8545
2023-02-22,9.8952
2023-02-21,9.9355
2023-02-17,9.9774
2023-02-16,10.0161
2023-02-15,10.0564
2023-02-14,10.0992
2023-02-13,10.1426
2023-02-10,10.1859
2023-02-09,10.2279
2023-02-08,10.2728
2023-02-07,10.3216
2023-02-06,10.3717
2023-02-03,10.4200
2023-02-02,10.4685
2023-02-01,10.5173
2023-01-31,10.5353
2023-01-30,10.5507
2023-01-27,10.5661
2023-01-26,10.5819
2023-01-25,10.5935
2023-01-24,10.6018
2023-01-23,10.6109
2023-01-20,10.6191
2023-01-19,10.6244
2023-01-18,10.6278
2023-01-17,10.6317
2023-01-13,10.6365
2023-01-12,10.6416
2023-01-11,10.6468
2023-01-10,10.6492
2023-01-09,10.6513
2023-01-06,10.6546
2023-01-05,10.6561
2023-01-04,10.6562
2023-01-03,10.6570
2022-12-30,10.6559
2022-12-29,10.6504
2022-12-28,10.6448
2022-12-27,10.6370
2022-12-23,10.6294
2022-12-22,10.6216
2022-12-21,10.6137
2022-12-20,10.6064
2022-12-19,10.5969
2022-12-16,10.5885
2022-12-15,10.5826
2022-12-14,10.5732
2022-12-13,10.5668
2022-12-12,10.5599
2022-12-09,10.5472
2022-12-08,10.5350
2022-12-07,10.5230
2022-12-06,10.5100
2022-12-05,10.4973
2022-12-02,10.4890
2022-12-01,10.4801
2022-11-30,10.4691
2022-11-29,10.4558
2022-11-28,10.4372
2022-11-25,10.4184
2022-11-23,10.4010
2022-11-22,10.3835
2022-11-21,10.3651
2022-11-18,10.3471
2022-11-17,10.3298
2022-11-16,10.3110
2022-11-15,10.2936
2022-11-14,10.2771
2022-11-11,10.2588
2022-11-10,10.2393
2022-11-09,10.2183
2022-11-08,10.1914
2022-11-07,10.1592
2022-11-04,10.1262
2022-11-03,10.0889
2022-11-02,10.0508
2022-11-01,10.0135
2022-10-31,9.9776
2022-10-28,9.9416
2022-10-27,9.9079
2022-10-26,9.8741
2022-10-25,9.8574
2022-10-24,9.8417
2022-10-21,9.8225
2022-10-20,9.8007
2022-10-19,9.7820
2022-10-18,9.7637
2022-10-17,9.7454
2022-10-14,9.7247
2022-10-13,9.7018
2022-10-12,9.6783
2022-10-11,9.6566
2022-10-10,9.6353
2022-10-07,9.6165
2022-10-06,9.5980
2022-10-05,9.5816
2022-10-04,9.5643
2022-10-03,9.5494
2022-09-30,9.5324
2022-09-29,9.5154
2022-09-28,9.4974
2022-09-27,9.4794
2022-09-26,9.4595
2022-09-23,9.4405
2022-09-22,9.4229
2022-09-21,9.4063
2022-09-20,9.3902
2022-09-19,9.3758
2022-09-16,9.3611
2022-09-15,9.3463
2022-09-14,9.3338
2022-09-13,9.3208
2022-09-12,9.3096
2022-09-09,9.3063
2022-09-08,9.3018
2022-09-07,9.2923
2022-09-06,9.2818
2022-09-02,9.2718
2022-09-01,9.2626
2022-08-31,9.2539
2022-08-30,9.2461
2022-08-29,9.2342
2022-08-26,9.2239
2022-08-25,9.2149
2022-08-24,9.2071
2022-08-23,9.1971
2022-08-22,9.1874
2022-08-19,9.1786
2022-08-18,9.1722
2022-08-17,9.1684
2022-08-16,9.1658
2022-08-15,9.1647
2022-08-12,9.1642
2022-08-11,9.1641
2022-08-10,9.1641
2022-08-09,9.1623
2022-08-08,9.1535
2022-08-05,9.1448
2022-08-04,9.1324
2022-08-03,9.1203
2022-08-02,9.1065
2022-08-01,9.0879
2022-07-29,9.0691
2022-07-28,9.0469
2022-07-27,9.0246
2022-07-26,9.0059
2022-07-25,8.9838
2022-07-22,8.9651
2022-07-21,8.9481
2022-07-20,8.9364
2022-07-19,8.9246
2022-07-18,8.9080
2022-07-15,8.8881
2022-07-14,8.8637
2022-07-13,8.8376
2022-07-12,8.8125
2022-07-11,8.7885
2022-07-08,8.7644
2022-07-07,8.7434
2022-07-06,8.7222
2022-07-05,8.7002
2022-07-01,8.6759
2022-06-30,8.6465
2022-06-29,8.6186
2022-06-28,8.5915
2022-06-27,8.5644
2022-06-24,8.5409
2022-06-23,8.5162
2022-06-22,8.4845
2022-06-21,8.4533
2022-06-17,8.4221
2022-06-16,8.3928
2022-06-15,8.3627
2022-06-14,8.3346
2022-06-13,8.3029
2022-06-10,8.2723
2022-06-09,8.2469
2022-06-08,8.2258
2022-06-07,8.2101
2022-06-06,8.1907
2022-06-03,8.1712
2022-06-02,8.1523
2022-06-01,8.1333
2022-05-31,8.1134
2022-05-27,8.0968
2022-05-26,8.0788
2022-05-25,8.0590
2022-05-24,8.0344
2022-05-23,8.0085
2022-05-20,7.9901
2022-05-19,7.9717
2022-05-18,7.9514
2022-05-17,7.9321
2022-05-16,7.9161
2022-05-13,7.8999
2022-05-12,7.8802
2022-05-11,7.8592
2022-05-10,7.8398
2022-05-09,7.8234
2022-05-06,7.8076
2022-05-05,7.7944
2022-05-04,7.7839
2022-05-03,7.7737
2022-05-02,7.7575
2022-04-29,7.7393
2022-04-28,7.7210
2022-04-27,7.7002
2022-04-26,7.6613
2022-04-25,7.6275
2022-04-22,7.5946
2022-04-21,7.5623
2022-04-20,7.5311
2022-04-19,7.5065
2022-04-18,7.4870
2022-04-14,7.4640
2022-04-13,7.4419
2022-04-12,7.4203
2022-04-11,7.3995
2022-04-08,7.3798
2022-04-07,7.3624
2022-04-06,7.3449
2022-04-05,7.3289
2022-04-04,7.3178
2022-04-01,7.3051
2022-03-31,7.2877
2022-03-30,7.2702
2022-03-29,7.2550
2022-03-28,7.2395
2022-03-25,7.2195
2022-03-24,7.1995
2022-03-23,7.1762
2022-03-22,7.1502
2022-03-21,7.1241
2022-03-18,7.0948
2022-03-17,7.0654
2022-03-16,7.0301
2022-03-15,6.9917
2022-03-14,6.9455
2022-03-11,6.8990
2022-03-10,6.8528
2022-03-09,6.8084
2022-03-08,6.7652
2022-03-07,6.7202
2022-03-04,6.6755
2022-03-03,6.6362
2022-03-02,6.5980
2022-03-01,6.5600
