,ADX
2023-05-12,7.4688
2023-05-11,7.4961
2023-05-10,7.5249
2023-05-09,7.5505
2023-05-08,7.5711
2023-05-05,7.5910
2023-05-04,7.6104
2023-05-03,7.6295
2023-05-02,7.6487
2023-05-01,7.6653
2023-04-28,7.6827
2023-04-27,7.7033
2023-04-26,7.7270
2023-04-25,7.7453
2023-04-24,7.7621
2023-04-21,7.7822
2023-04-20,7.8010
2023-04-19,7.8160
2023-04-18,7.8309
2023-04-17,7.8448
2023-04-14,7.8580
2023-04-13,7.8706
2023-04-12,7.8825
2023-04-11,7.8917
2023-04-10,7.9025
2023-04-06,7.9140
2023-04-05,7.9259
2023-04-04,7.9389
2023-04-03,7.9535
2023-03-31,7.9670
2023-03-30,7.9812
2023-03-29,7.9949
2023-03-28,8.0054
2023-03-27,8.0133
2023-03-24,8.0222
2023-03-23,8.0297
2023-03-22,8.0387
2023-03-21,8.0489
2023-03-20,8.0575
2023-03-17,8.0631
2023-03-16,8.0707
2023-03-15,8.0784
2023-03-14,8.0806
2023-03-13,8.0807
2023-03-10,8.0794
2023-03-09,8.0805
2023-03-08,8.0838
2023-03-07,8.0844
2023-03-06,8.0857
2023-03-03,8.0880
2023-03-02,8.0883
2023-03-01,8.0851
2023-02-28,8.0832
2023-02-27,8.0828
2023-02-24,8.0825
2023-02-23,8.0815
2023-02-22,8.0819
2023-02-21,8.0835
2023-02-17,8.0834
2023-02-16,8.0847
2023-02-15,8.0887
2023-02-14,8.0931
2023-02-13,8.0971
2023-02-10,8.0997
2023-02-09,8.1012
2023-02-08,8.1042
2023-02-07,8.1084
2023-02-06,8.1123
2023-02-03,8.1190
2023-02-02,8.1277
2023-02-01,8.1432
2023-01-31,8.1494
2023-01-30,8.1520
2023-01-27,8.1526
2023-01-26,8.1537
2023-01-25,8.1498
2023-01-24,8.1431
2023-01-23,8.1411
2023-01-20,8.1386
2023-01-19,8.1357
2023-01-18,8.1302
2023-01-17,8.1275
2023-01-13,8.1241
2023-01-12,8.1201
2023-01-11,8.1146
2023-01-10,8.1067
2023-01-09,8.0922
2023-01-06,8.0768
2023-01-05,8.0574
2023-01-04,8.0395
2023-01-03,8.0219
2022-12-30,8.0050
2022-12-29,7.9843
2022-12-28,7.9636
2022-12-27,7.9414
2022-12-23,7.9204
2022-12-22,7.8993
2022-12-21,7.8780
2022-12-20,7.8595
2022-12-19,7.8401
2022-12-16,7.8208
2022-12-15,7.8036
2022-12-14,7.7870
2022-12-13,7.7728
2022-12-12,7.7591
2022-12-09,7.7383
2022-12-08,7.7182
2022-12-07,7.6980
2022-12-06,7.6765
2022-12-05,7.6552
2022-12-02,7.6367
2022-12-01,7.6210
2022-11-30,7.6064
2022-11-29,7.5908
2022-11-28,7.5726
2022-11-25,7.5562
2022-11-23,7.5374
2022-11-22,7.5184
2022-11-21,7.4979
2022-11-18,7.4773
2022-11-17,7.4583
2022-11-16,7.4408
2022-11-15,7.4246
2022-11-14,7.4101
2022-11-11,7.3911
2022-11-10,7.3720
2022-11-09,7.3499
2022-11-08,7.3164
2022-11-07,7.2850
2022-11-04,7.2541
2022-11-03,7.2231
2022-11-02,7.1929
2022-11-01,7.1653
2022-10-31,7.1414
2022-10-28,7.1219
2022-10-27,7.1012
2022-10-26,7.0923
2022-10-25,7.0884
2022-10-24,7.0889
2022-10-21,7.0882
2022-10-20,7.0866
2022-10-19,7.0833
2022-10-18,7.0781
2022-10-17,7.0744
2022-10-14,7.0643
2022-10-13,7.0542
2022-10-12,7.0421
2022-10-11,7.0362
2022-10-10,7.0302
2022-10-07,7.0263
2022-10-06,7.0238
2022-10-05,7.0271
2022-10-04,7.0304
2022-10-03,7.0360
2022-09-30,7.0343
2022-09-29,7.0330
2022-09-28,7.0307
2022-09-27,7.0292
2022-09-26,7.0272
2022-09-23,7.0240
2022-09-22,7.0193
2022-09-21,7.0188
2022-09-20,7.0206
2022-09-19,7.0251
2022-09-16,7.0304
2022-09-15,7.0347
2022-09-14,7.0440
2022-09-13,7.0515
2022-09-12,7.0591
